,,temp_daily_max,pressure_daily_max,humidity_daily_max,wind_speed_daily_max,rain_1h_daily_max,rain_3h_daily_max,snow_3h_daily_max,clouds_all_daily_max
date,city_name,,,,,,,,
2015-01-01,Barcelona,284.6023125,1038,100,7,0.0,0.0,0.0,0
2015-01-01,Bilbao,284.5916875,1036,97,1,0.0,0.0,0.0,24
2015-01-01,Madrid,283.3083125,1036,75,1,0.0,0.0,0.0,0
2015-01-01,Seville,286.994,1043,84,4,0.0,0.0,0.0,0
2015-01-01,Valencia,285.27734375,1035,84,2,0.0,0.0,0.0,0
2015-01-02,Barcelona,286.3286875,1039,100,2,0.0,0.0,0.0,64
2015-01-02,Bilbao,284.84534375,1038,95,2,0.0,0.0,0.0,22
2015-01-02,Madrid,284.94534375,1038,79,1,0.0,0.0,0.0,32
2015-01-02,Seville,286.8643125,1045,89,4,0.0,0.0,0.0,0
2015-01-02,Valencia,287.5536875,1037,82,2,0.0,0.0,0.0,0
2015-01-03,Barcelona,287.148,1037,100,3,0.0,0.0,0.0,44
2015-01-03,Bilbao,284.809,1037,97,1,0.0,0.0,0.0,12
2015-01-03,Madrid,285.737,1036,86,2,0.0,0.0,0.0,4
2015-01-03,Seville,287.973,1045,90,3,0.0,0.0,0.0,0
2015-01-03,Valencia,290.323,1032,80,2,0.0,0.0,0.0,12
2015-01-04,Barcelona,290.05,1030,89,3,0.0,0.0,0.0,12
2015-01-04,Bilbao,282.435,1037,98,1,0.3,0.0,0.0,92
2015-01-04,Madrid,286.642,1002,78,1,0.0,0.0,0.0,0
2015-01-04,Seville,289.492,1042,87,4,0.0,0.0,0.0,0
2015-01-04,Valencia,289.742,1018,92,2,0.0,0.0,0.0,0
2015-01-05,Barcelona,289.56,1030,89,5,0.0,0.0,0.0,34
2015-01-05,Bilbao,280.629,1033,99,1,0.3,0.0,0.0,30
2015-01-05,Madrid,284.8395,1028,84,2,0.0,0.0,0.0,12
2015-01-05,Seville,286.2895,1039,95,2,0.3,0.0,0.0,92
2015-01-05,Valencia,288.058,1028,91,2,0.0,0.0,0.0,0
2015-01-06,Barcelona,287.86,1024,85,6,0.0,0.0,0.0,88
2015-01-06,Bilbao,281.98034375,1029,98,1,0.0,0.0,0.0,69
2015-01-06,Madrid,279.599,966,92,1,0.0,0.0,0.0,80
2015-01-06,Seville,284.524,1036,97,3,0.0,0.0,0.0,92
2015-01-06,Valencia,287.124,1011,96,1,0.0,0.0,0.0,92
2015-01-07,Barcelona,286.45,1030,88,3,0.3,0.0,0.0,88
2015-01-07,Bilbao,283.245,1032,97,1,0.0,0.0,0.0,44
2015-01-07,Madrid,282.42,1031,87,1,0.0,0.0,0.0,8
2015-01-07,Seville,284.85334375,1038,94,3,0.0,0.0,0.0,76
2015-01-07,Valencia,284.5446875,1033,99,2,0.3,0.0,0.0,92
2015-01-08,Barcelona,288.85,1037,89,3,0.0,0.0,0.0,0
